number,title,link
1,Exploring Pretrained Models for Joint Morpho-Syntactic Parsing of Russian,https://drive.google.com/drive/folders/1OqasVVAnsqN-kYApXU8BiPOW7DHRsFg3?usp=sharing
2,Word2vec not dead: predicting hypernyms of co-hyponyms is better than reading definitions,https://drive.google.com/drive/folders/1wEj7EDr-8EweYMskdItpCBja1s4-7J8Z?usp=sharing
3,Exploring Semantic Concreteness and Abstractness for Metaphor Identification and Beyond,https://drive.google.com/drive/folders/1sew61YhtEdzfcAv-Z2wV-kyjpuVfvCJ3?usp=sharing
4,Динамика стиля русской письменной речи XIX века: корпусный эксперимент,https://drive.google.com/drive/folders/1RBUCMJS7vRc0xwOxyudDJ2jWovPf8721?usp=sharing
5,"Интернет-корпус как инструмент лингвистических исследований: дифференциальность, авторизация, тематические смещения (или корпусы, которым так хочется верить)",https://drive.google.com/drive/folders/17Gx-JloiN81G2xYAGN5KXJBmI8diEnNo?usp=sharing
6,Modeling lemma frequency bands for lexical complexity assessment of Russian texts,https://drive.google.com/drive/folders/1Ka4W8gmRy6PYDyKFFrJyhh6GdFPwKqTa?usp=sharing
7,The Russian Language Pipeline in the LIMA multilingual analyzer,https://drive.google.com/drive/folders/1aTrAS2v-4ZzAIhHgux3hHgT9Icn78d2n?usp=sharing
8,Full-fledged semantic analysis as a tool for resolving Triangle-COPA social scenarios,https://drive.google.com/drive/folders/1PrUjrKx5djMHzWbiQtmtSLrjz2B7CLjw?usp=sharing
9,Generating training data for word sense disambiguation in Russian,https://drive.google.com/drive/folders/1gdvc_mah48_70vG2zOdsW88lOppq0VAH?usp=sharing
10,Referential phenomena in speaker’s kinetic channels,https://drive.google.com/drive/folders/1-Bxz8UrYVieC8o9yZmQ7BaVUfjp3RaBK?usp=sharing
11,Чему нас учат ошибки: трудности при обработке слов с частотными орфографическими ошибками,https://drive.google.com/drive/folders/1VJRplyrV7Oo7fHp0NfkH0zf04PX9v8w0?usp=sharing
12,Об особенностях вторичной имперфективации глаголов с префиксом ‘по-’ в русском языке,https://drive.google.com/drive/folders/1usxX1aJkOVw1vfG_PDl2kLzinRhvu36U?usp=sharing
13,A simple solution for the Taxonomy enrichment task: Discovering hypernyms using nearest neighbor search,https://drive.google.com/drive/folders/1cWCdOKGpe2pRNI433UiBjvpKTn6jiKA4?usp=sharing
14,RENERSANs: Relation Extraction and Named Entity Recognition as Sequence Annotation,https://drive.google.com/drive/folders/1JKKC1VPisTOH7AgDQihcFMkMkz2-ak11?usp=sharing
15,Stability of Topic Modeling via Modality Regularization,https://drive.google.com/drive/folders/1KQR4BVjKxXDKyYT6rGS4knWa8dVq7Y7n?usp=sharing
16,Дифференциальные семантические скетчи для русскоязычных интернет-корпусов,https://drive.google.com/drive/folders/1Lu6O6iuRRbmtekSuMJK16UUD1OGTyYu8?usp=sharing
17,Annotating and exploring code‑switching in four corpora of minority languages of Russia,https://drive.google.com/drive/folders/1BLmw6TPgBxF7xP5D2C1GJF1kmuIopEWy?usp=sharing
18,"Русский Конструктикон: новый лингвистический ресурс, его устройство и специфика",https://drive.google.com/drive/folders/19RIy3SemxipMwNS2Z04RLEEMPsqc0_VW?usp=sharing
19,Quantile-based approach to estimating cognitive text complexity,https://drive.google.com/drive/folders/1xkip0nE8r3GxMTng4l2aXCHveCb4OoCE?usp=sharing
20,SPARQL query generation for complex question answering with BERT and BiLSTM-based model,https://drive.google.com/drive/folders/1fYIuelNY3Me2m6MmSNzYTm0bT0bkGpi9?usp=sharing
21,"Combining facts, semantic roles and sentiment lexicon in a generative model for opinion mining",https://drive.google.com/drive/folders/1UBHG6RLnnt5A7R0YZsHK8yY1_yhqpijR?usp=sharing
22,Event2mind for Russian: understanding emotions and intents in texts. Corpus and model for evaluation,https://drive.google.com/drive/folders/1vpZ_5YXvc04LGGsJtMmJ_oaJQGCa0-Hx?usp=sharing
23,Имплицитные логико-семантические отношения и метод их поиска в параллельных текстах,https://drive.google.com/drive/folders/1wSA31f18or9ThdPtNy-l6TVbSrwo_pDM?usp=sharing
24,Видовые тройки русского глагола в диахронии (на материале НКРЯ),https://drive.google.com/drive/folders/1ap0GQa38rEUsY6DPG7hxql-9F19Tv9Jd?usp=sharing
25,Relation extraction dataset for the Russian,https://drive.google.com/drive/folders/1EoACg7rkxika0mgVDhOxkZ_vnaviCUX3?usp=sharing
26,Dialogue management using extended discourse trees,https://drive.google.com/drive/folders/1Pp2HUgyUPLtXrQl3bFPVcrh0F563s_Pb?usp=sharing
27,Количественный метод анализа коннекторов: «портрет» русского союза ‘или’ в надкорпусной базе данных коннекторов,https://drive.google.com/drive/folders/1DDzek-TeAFtSaIbf1KsjXKUjhRNMB_aP?usp=sharing
28,An experimental rule-based parser for Russian employing the NLP resources of the ETAP system,https://drive.google.com/drive/folders/1OlFuBgI9g97Adwjl6DzOcLNZxCoFIMIC?usp=sharing
29,Валентная структура некоторых речевых предикатных слов: новые находки,https://drive.google.com/drive/folders/1TlDsb8ewnzKh8M9M1weDy4lnMmm2BF0P?usp=sharing
30,RuREBus-2020 Shared Task: Russian Relation Extraction for Business,https://drive.google.com/drive/folders/18qdbDziw_4_kMqceKC9eGvDGe7YxZrAM?usp=sharing
31,Comparative analysis of rhetorical and argumentative structures in the study of popular science discourse,https://drive.google.com/drive/folders/1uAa42rpUDPnVmFhBmfAWlwSfk8G01pmo?usp=sharing
32,Exploring the BERT Cross-Lingual Transfer for Reading Comprehension,https://drive.google.com/drive/folders/1oTNygt9IUeWJiNODQv8QAFW4YaSeCQ2S?usp=sharing
33,Disfluencies in Russian spoken monologues: a distributional analysis,https://drive.google.com/drive/folders/1nW44i7doMWBQcTYDyLfscahCB20Paopl?usp=sharing
34,R-BERT for relationship extraction on Russian business documents,https://drive.google.com/drive/folders/1xux5M_rJun6K8t8EhSkjESSoAAI7YXbY?usp=sharing
35,Taxonomy Enrichment for Russian: Synset Classification Outperforms Linear Hyponym-Hypernym Projections,https://drive.google.com/drive/folders/14Z3ILz46E9Jx5zeTy0dcxCXvrMbGE3BY?usp=sharing
36,Семантические эффекты времени во вводных конструкциях с ментальными глаголами,https://drive.google.com/drive/folders/1_zkWg-klj6AICuY4Zk0CNPniR1k-kqcm?usp=sharing
37,ShiftRy: Web Service for Diachronic Analysis of Russian News,https://drive.google.com/drive/folders/1WAwung0ImRZw2kRSFzXayZbs2cJnlDBT?usp=sharing
38,Sentence compression for Russian: dataset and baselines,https://drive.google.com/drive/folders/1cGed5XjkaLLEEAPcgoUv5zflWytxR6mR?usp=sharing
39,«Understatement» и сарказм: лексикализация риторического приема,https://drive.google.com/drive/folders/1em0xKL5piYpMwHmQVuELyivF91Yx-Ngy?usp=sharing
40,Sentiment Frames for Attitude Extraction in Russian,https://drive.google.com/drive/folders/1t3OQ1Ipet_THvR4YeLj-3AbNql5sr--C?usp=sharing
41,GramEval 2020 Shared Task: Russian Full Morphology and Universal Dependencies Parsing,https://drive.google.com/drive/folders/1__UW36I-k7Q_TQHNxtI9ogRg0DJC5GiY?usp=sharing
42,Summary Construction Strategies for Headline Generation in the Russian,https://drive.google.com/drive/folders/1ZePGqH-B-9ckdOioTtfcyYE5IKprxRaw?usp=sharing
43,RUSSE’2020: Findings of the First Taxonomy Enrichment Task for the Russian Language,https://drive.google.com/drive/folders/1cz_cL_6x7jDCIGNkrZXLZ_VB3l5ILvI-?usp=sharing
44,Совместный синтаксис в диалогах с заикающимися,https://drive.google.com/drive/folders/1qzLB1K-6oLRtCeI73WdBkGnfzUDC8nuU?usp=sharing
45,Doc2Vec or better interpretability? A method study for authorship attribution,https://drive.google.com/drive/folders/1zE-8ci-e4ne-utNALhDUUj7zj9H-oOXq?usp=sharing
46,Русский язык и корпусное разнообразие,https://drive.google.com/drive/folders/1ulNuusIK1-FDJSv5NTe-IaJ0DLfCPERo?usp=sharing
47,«А тот Перовской не дал всласть поспать»: просодия и грамматика анафорического ‘тот’ в зеркале корпусных данных,https://drive.google.com/drive/folders/1g75eQxrXwNIVsmo23Idy5itn6-niZfvr?usp=sharing
48,Russian Natural Language Generation: Creation of a Language modeling Dataset and Evaluation with Modern Neural Architectures,https://drive.google.com/drive/folders/1ImK8ZuwGivccvUICP3XKsySNDddXZt5v?usp=sharing
49,Лингвоспецифичные слова в зеркале перевода: ‘тоска’,https://drive.google.com/drive/folders/1Izdz2RetilMiEovd9X7x8zf6uCSODy5S?usp=sharing
50,Tagging and parsing of multidomain collections,https://drive.google.com/drive/folders/1XjCvWIwX952jjV41BaCR-0qGAHmriynq?usp=sharing
51,Visual vs. auditory perception of Bulgarian stimuli by Russian native speakers,https://drive.google.com/drive/folders/1OM6NITJtkZQPOuEqew6NIYcI8aCmSQeb?usp=sharing
52,An Empirical Investigation of Language Model based Reverse Turing Test as a Tool for Knowledge and Skills Assessment,https://drive.google.com/drive/folders/1gG7lLS3m40rlTxJ9T8-k8yAD7WCwRq-O?usp=sharing
53,Семантика ‘обратно’: возвращение в прерванное состояние,https://drive.google.com/drive/folders/1eyAcFDiVqvdbqgzwb6mZxVnb0kfzFZIg?usp=sharing
54,Pretraining and Augmentation in Named Entity Recognition Task for Cybersecurity Domain in Russian,https://drive.google.com/drive/folders/1KnZacYuW6QPnefjAZf2d_q3HNxmzNjPN?usp=sharing
55,Combined Approach to Hypernym Detection for Thesaurus Enrichment,https://drive.google.com/drive/folders/1n0OJk8JlSs_eqBo6o3dUm5TZli6QI4GK?usp=sharing
56,Discourse Features of Blogs in Subcorpus of Russian Ru-RSTreebank,https://drive.google.com/drive/folders/1wwTaYvYoi5BpbXGX9sD8XZUmtwqVp7ki?usp=sharing
57,Distributional models and auxiliary methods for determining the hypernyms of words in Russian,https://drive.google.com/drive/folders/115wRe5YW5hO93Nhnp9U1GaXyyxSlcaNR?usp=sharing
58,Наречие ‘давно’ по данным звучащего корпуса,https://drive.google.com/drive/folders/1MZLyWATzceFETHG1Q_Q8hu0SLmxNg005?usp=sharing
59,"Руcское ‘как бы’: семантика, прагматика, диахрония",https://drive.google.com/drive/folders/1c1QRlYXNREC6DVeZqZYcelXGMTf1UFxR?usp=sharing
60,Zero forms in morphological paradigms: the verb “be” in Russian,https://drive.google.com/drive/folders/1CbSRuuYJd7vqkpbyTNFAitOEfTEUBVln?usp=sharing
61,The perception of robot’s emotional gestures and speech by children solving a spatial puzzle,https://drive.google.com/drive/folders/1TRnMDHJwoUyOHNbRpWs3cUXdgbRk1jkw?usp=sharing